	Gene	Chrom	Start-End	nSNPS	TopSNP P-Value	TopSNP Position	Negative Log	HumanGene
237	Adam30	chr2	200328497-200331938	24	0.0888605	200337886	1.051291247	ADAM30
238	Adam32	chr16	"71889034-71976323,71889035-71999151,71889443-71999150,71890207-71999151"	693	0.0309689	71917374	1.50907422	ADAM32
239	Adam34	chr16	51750789-51752939	33	0.689697	51759748	0.161341663	
240	Adam34l	chr16	51728002-51733028	25	0.675074	51727403	0.170648618	
241	Adam3a	chr16	72086877-72136685	281	0.316803	72120873	0.499210714	
242	Adam4	chr6	105158023-105160470	12	0.00632876	105150407	2.198681373	
243	Adam4l1	chr6	105007052-105009516	7	0.0838679	105013490	1.076404231	
244	Adam5	chr16	"72010068-72085666,72010070-72077912,72010125-72077908,72011152-72085666"	350	0.0243117	72034603	1.614184672	ADAM5
245	Adam8	chr1	"212317509-212332895,212317509-212332895,212317509-212332895,212318582-212332895"	13	0.263676	212313092	0.578929398	ADAM8
246	Adam9	chr16	71810376-71887926	351	0.285705	71894201	0.544082159	ADAM9
247	Adamts1	chr11	25342118-25350938	41	0.0359309	25343829	1.444531904	ADAMTS1
248	Adamts10	chr7	"18409146-18439012,18409216-18439012,18417919-18439012,18417919-18439012,18417919-18439012"	15	0.668691	18445469	0.174774522	ADAMTS10
249	Adamts12	chr2	61039071-61340687	569	0.00132355	61128980	2.878259648	ADAMTS12
250	Adamts13	chr3	5519920-5558390	101	0.308557	5517543	0.510664597	ADAMTS13
251	Adamts14	chr20	"30812318-30888936,30813655-30888751"	51	0.186014	30829513	0.730454368	ADAMTS14
252	Adamts16	chr1	35067267-35200530	378	0.642157	35059582	0.192358779	ADAMTS16
253	Adamts17	chr1	"127802871-128126764,127802871-128126764"	511	0.455468	128070620	0.34154213	ADAMTS17
254	Adamts18	chr19	46005054-46167912	358	0.0120847	46017841	1.917764126	ADAMTS18
255	Adamts19	chr18	"53915806-54099120,53915806-54099856"	329	0.109615	54025376	0.960130012	ADAMTS19
256	Adamts2	chr10	"36098050-36301775,36098056-36304416"	654	0.0140924	36242095	1.851015038	ADAMTS2
257	Adamts20	chr7	135465020-135630941	678	0.0985523	135484786	1.006333236	ADAMTS20
258	Adamts3	chr14	"19866277-20072896,19866278-20072896,19866407-20071003"	742	0.00140458	19944498	2.85245352	ADAMTS3
259	Adamts4	chr13	89622995-89632485	40	0.241871	89623108	0.6164162	ADAMTS4
260	Adamts5	chr11	25411173-25456639	161	0.02816	25419883	1.55036735	ADAMTS5
261	Adamts6	chr2	"34374141-34547139,34374141-34589676,34403070-34589676,34463885-34589676,34476115-34589676"	157	0.00400987	34568558	2.396869707	ADAMTS6
262	Adamts7	chr8	"97535776-97575655,97537895-97575661,97537895-97575661,97537895-97575661,97537895-97575661,97538604-97575661,97538604-97575661,97561316-97575661"	136	0.19764	97527560	0.704125155	ADAMTS7
263	Adamts9	chr4	"124660253-124860997,124660253-124860997,124660261-124858250,124668215-124860997"	281	0.274497	124679212	0.561462398	ADAMTS9
264	Adamtsl1	chr5	103789442-104753866	490	0.273919	104762681	0.562377842	ADAMTSL1
265	Adamtsl2	chr3	5624472-5654890	59	0.220437	5656245	0.656715508	ADAMTSL2
266	Adamtsl3	chr1	"144238957-144561065,144238962-144559116,144238962-144560856"	619	0.00471789	144359854	2.326252189	ADAMTSL3
267	Adamtsl5	chr7	"12228705-12237382,12228705-12237382,12228705-12237382,12228705-12237382,12228705-12237382,12228707-12237382,12229378-12234576"	36	0.0648625	12246153	1.188006316	ADAMTSL5
268	Adap1	chr12	"17416326-17468212,17417465-17468212"	66	0.484285	17453879	0.314898982	ADAP1
269	Adar	chr2	"189045550-189084195,189045550-189085448,189045587-189084195,189045592-189084195,189059260-189084195,189062442-189083236"	115	0.194064	189086377	0.712055021	ADAR
270	Adarb1	chr20	"11972351-12101022,11972380-12101022,11972380-12101022,11972380-12101022,11972380-12101022,12031778-12101022,12046729-12101022,12046729-12101022"	469	0.00123154	12002026	2.909551478	ADARB1
271	Adarb2	chr17	"58098978-58293162,58104601-58653137,58104786-58293162"	1345	0.00745771	58560161	2.127394509	ADARB2
272	Adat1	chr19	"44172495-44212147,44187516-44211242,44187516-44212147,44187516-44212147,44187516-44212147,44187574-44209236"	344	0.00445856	44211110	2.350805385	ADAT1
273	Adat2	chr1	7726446-7743112	54	0.104072	7717693	0.982666099	ADAT2
274	Adat3	chr7	"11977284-11978654,11977284-11981814"	20	0.100546	11971365	0.997635202	ADAT3
275	Adck1	chr6	"111640651-111741418,111640655-111741418,111642410-111740481"	202	0.0198488	111707465	1.702265744	ADCK1
276	Adck2	chr4	"67359530-67372416,67359595-67373390,67359823-67373390,67359823-67373390"	30	5.77E-06	67370278	5.239130634	ADCK2
277	Adck3	chr13	"98451628-98480438,98451636-98478327"	69	0.12475	98482871	0.903959446	
278	Adck4	chr1	"84043486-84067065,84044550-84067066"	52	0.00541109	84053832	2.266715243	
279	Adck5	chr7	117643975-117661789	37	0.00282864	117645860	2.548422322	ADCK5
280	Adcy1	chr14	"87311969-87421149,87311970-87421149,87311971-87413211,87311972-87429880,87311973-87429880,87312137-87421149,87312229-87421461,87330136-87421149"	411	0.0389104	87347327	1.409934305	ADCY1
281	Adcy10	chr13	"83701951-83787010,83701951-83787010,83701951-83787010,83704138-83787002,83706196-83787010"	38	0.00624419	83783144	2.204523891	ADCY10
282	Adcy2	chr1	37043070-37698390	2	0.586943	37054469	0.231404072	ADCY2
283	Adcy3	chr6	"28570940-28648237,28571132-28648848,28571304-28648237,28571304-28648237,28571379-28648237"	57	0.162943	28564021	0.787964292	ADCY3
284	Adcy5	chr11	"68695838-68842320,68701674-68842452"	372	0.0438982	68780347	1.357553287	ADCY5
285	Adcy6	chr7	"140270677-140290328,140270677-140291722,140270691-140290796,140270691-140291620"	1	0.000290197	140301721	3.537307082	ADCY6
286	Adcy7	chr19	"19702306-19729709,19702306-19730382,19702306-19736027,19702306-19738571,19702306-19739742,19702306-19739742,19702306-19740969,19702306-19740969,19702306-19740969,19702306-19746616,19702306-19762670,19702306-19762884,19703669-19762973,19704858-19727081,19706109-19746618"	51	0.116248	19692740	0.93461451	ADCY7
287	Adcy8	chr7	"105353882-105593372,105353882-105593372,105353898-105592804"	31	0.577496	105439000	0.23845102	ADCY8
288	Adcy9	chr10	"11392697-11515406,11392697-11515406"	352	0.000936974	11471651	3.02827246	ADCY9
289	Adcyap1r1	chr4	"85662808-85711696,85662891-85711696,85662891-85711696,85662891-85711696,85662891-85711696,85662891-85711696,85662891-85711696,85663067-85711696,85663067-85711696"	178	0.00285751	85657446	2.544012241	ADCYAP1R1
290	Add1	chr14	"81367465-81393047,81367465-81426496,81367465-81426610,81367465-81426610,81367465-81426610,81368853-81426610,81369064-81426610,81369064-81426610,81369255-81426610,81370602-81426610,81370602-81426610,81370602-81426610,81370602-81426610,81370602-81426610"	2	0.000614323	81377079	3.211603225	ADD1
291	Add2	chr4	"117691293-117882053,117691294-117887556,117744074-117873701,117744074-117882427"	289	0.00108387	117730356	2.965022804	ADD2
292	Add3	chr1	"273854194-273961964,273854247-273961982,273854247-273961982,273856694-273961964,273856705-273961964,273906948-273961964,273907764-273961964,273907764-273961964,273910829-273961964"	387	0.00155748	273864920	2.807577522	ADD3
293	Adgb	chr1	4445038-4588507	255	0.0326313	4435151	1.486365624	ADGB
294	Adgra1	chr1	212170189-212213156	37	0.248884	212218842	0.604003022	ADGRA1
295	Adgra2	chr16	"69094586-69133015,69094586-69133015,69094586-69133015"	162	0.0193398	69120256	1.713548021	ADGRA2
296	Adgra3	chr14	64686676-64786813	328	0.0588446	64684234	1.230293385	ADGRA3
297	Adgrb2	chr5	"148168529-148231578,148193648-148231578,148200369-148231578,148200369-148231578,148200369-148231578,148200369-148231578,148200369-148231578,148200369-148231578,148200369-148231578,148200369-148231587"	102	0.00469296	148183403	2.328553147	ADGRB2
298	Adgrb3	chr9	"31280622-32022098,31281277-32022535"	1718	0.208612	31561186	0.680660713	ADGRB3
299	Adgrd1	chr12	"31134805-31249594,31134805-31249594"	243	0.385513	31238014	0.413960972	ADGRD1
300	Adgre1	chr9	"9431887-9585852,9431887-9585883"	556	0.14204	9484133	0.847589336	ADGRE1
301	Adgre4	chr9	"8056033-8200262,8056051-8198800"	33	0.0377471	8051174	1.423116408	
302	Adgre5	chr19	"24854980-24874824,24854980-24874824,24854980-24874824,24854980-24875712,24854982-24874713"	47	0.000594267	24864677	3.226018386	ADGRE5
303	Adgrf1	chr9	"20343729-20360257,20343730-20360251,20343730-20360251,20343730-20378686,20343730-20378686"	288	0.0466341	20380053	1.3312964	ADGRF1
304	Adgrf2	chr9	"20898942-20948284,20898942-20948284,20898942-20948284,20898942-20948284,20898942-20948284,20909273-20948284,20917432-20948284,20917432-20948284,20923512-20948284"	17	0.177136	20898219	0.751693167	ADGRF2
305	Adgrf3	chr6	"27534524-27546804,27534524-27546804,27536183-27546443,27537500-27546804"	46	0.225866	27553674	0.646149139	ADGRF3
306	Adgrf4	chr9	20951248-20982493	134	0.183492	20963523	0.736382866	ADGRF4
307	Adgrf5	chr9	"20091120-20167962,20091120-20168002,20091120-20168004,20091120-20168004,20091120-20195706,20094535-20195566,20095244-20168006"	260	0.0483598	20119114	1.315515504	ADGRF5
308	Adgrg1	chr19	"10423533-10435473,10423533-10436801,10423533-10443050,10423533-10444900,10423533-10450123,10423533-10456145,10423533-10460674"	101	0.387956	10441137	0.411217527	ADGRG1
309	Adgrg3	chr19	"10392000-10422606,10392000-10422606"	89	0.365967	10386453	0.436558074	ADGRG3
310	Adgrg5	chr19	"10495516-10513349,10495778-10513510,10495778-10513510,10495778-10513510,10495778-10513512,10495778-10513512,10495778-10514064,10495778-10514065,10495778-10514066,10495778-10514066,10495778-10514066,10495778-10514701,10496542-10514065,10496542-10514065"	122	0.362845	10518649	0.440278857	ADGRG5
311	Adgrg6	chr1	"8593341-8751539,8595743-8751539,8596002-8751540,8596041-8751540"	336	0.180522	8670270	0.743469864	ADGRG6
312	Adgrl1	chr19	25029036-25069146	37	0.0218998	25049139	1.659559851	ADGRL1
313	Adgrl2	chr2	"258792837-258932123,258792837-258997145,258792837-258997145,258792837-258997145,258792837-258997145,258792837-258997145,258792837-258997145"	459	0.456802	258789708	0.340272003	ADGRL2
314	Adgrl3	chr14	"28362175-29226084,28386353-29226084,28386353-29226084,28386353-29226084,28386353-29226084,28386353-29226084,28386353-29226085,28386353-29226085,28386353-29226085,28386353-29226085,28386353-29226085,28386353-29226085,28386353-29226085,28386353-29226085,28386353-29226085,28386353-29226085,28386353-29226085,28386353-29226085,28386353-29226085,28386353-29226085,28392912-28856315,28394202-29226084,28394202-29226084,28394202-29226085"	326	0.0550216	28757166	1.259466785	ADGRL3
315	Adgrl4	chr2	256609786-256724642	343	0.0283515	256727163	1.547423959	ADGRL4
316	Adgrv1	chr2	"8926842-9504154,8926842-9504455"	408	0.0147339	9102064	1.831682282	ADGRV1
317	Adh1	chr2	243550654-243562243	74	0.531516	243556902	0.274483658	
318	Adh4	chr2	243702034-243720063	114	0.407675	243694655	0.38968592	ADH4
319	Adh5	chr2	243728499-243740907	21	0.521828	243734523	0.282472621	ADH5
320	Adh6	chr2	"243656567-243687750,243656578-243687857,243660124-243687750,243660124-243687750,243664148-243687750,243664950-243687750"	402	0.387258	243662922	0.411999602	ADH6
321	Adh6a	chr2	"243577085-243599357,243591384-243599351"	173	0.534748	243608385	0.271850831	
322	Adh7	chr2	"243500539-243516865,243502072-243516533"	273	0.116863	243492685	0.932322969	ADH7
323	Adhfe1	chr5	"9403193-9429654,9403193-9429745,9403193-9429783"	175	0.175953	9426149	0.754603324	ADHFE1
324	Adi1	chr6	47940210-47947173	69	0.276507	47934921	0.55829387	ADI1
325	Adipor1	chr13	"51240469-51260233,51240910-51260231"	32	0.42025	51243763	0.376492278	ADIPOR1
326	Adipor2	chr4	"151412134-151448754,151414724-151450150,151414724-151465904,151414724-151480108,151414868-151428819"	87	0.775646	151424629	0.110336443	ADIPOR2
327	Adk	chr15	"3033534-3410397,3033534-3435888"	757	0.118918	3150809	0.924752404	ADK
328	Adm	chr1	"175443188-175447260,175445087-175447259"	27	0.00174793	175447306	2.757475964	ADM
329	Adm2	chr7	130296894-130298641	29	0.0361905	130287675	1.441405417	ADM2
330	Adnp2	chr18	76637414-76661186	18	0.84447	76628819	0.073415774	ADNP2
331	Ado	chr20	22447995-22449176	16	0.00461683	22441442	2.335656117	ADO
332	Adora1	chr13	"51042110-51076906,51042110-51076913,51043497-51075806"	110	0.321811	51062282	0.492399115	ADORA1
333	Adora2a	chr20	"14265250-14275627,14265250-14278841,14265250-14282373,14265250-14282672,14265251-14282873"	157	0.417516	14272541	0.379326877	ADORA2A
334	Adora2b	chr10	48569562-48586366	56	0.0255739	48567366	1.592203037	ADORA2B
335	Adpgk	chr8	"64088870-64116832,64088912-64116832"	47	0.10238	64081554	0.989784875	ADPGK
336	Adprhl1	chr16	"81616097-81648133,81616417-81641468,81616603-81632018,81627498-81648133"	72	0.0229155	81621574	1.639870662	ADPRHL1
337	Adprhl2	chr5	144336311-144341586	27	0.327377	144328227	0.484951835	ADPRHL2
338	Adprm	chr10	"53583274-53595819,53583274-53595821,53583278-53595759"	46	0.0290416	53589001	1.536979461	ADPRM
339	Adra1a	chr15	"43296996-43392935,43296996-43398314,43296996-43398314,43296997-43392935,43297008-43398314,43299384-43392431"	206	0.0453148	43345088	1.343759932	ADRA1A
340	Adra1b	chr10	29392761-29450644	162	0.0121844	29411421	1.914195852	ADRA1B
341	Adra2a	chr1	274766282-274769083	22	0.290572	274762474	0.536746237	ADRA2A
342	Adra2c	chr14	80730306-80732010	39	0.000200764	80736151	3.69731416	ADRA2C
343	Adrb1	chr1	277537584-277538985	59	0.00184169	277528187	2.73478347	ADRB1
344	Adrb2	chr18	57513791-57515834	29	0.142738	57507595	0.845460393	ADRB2
345	Adrb3	chr16	"69003540-69006632,69003867-69006632"	21	0.0239122	69015858	1.621380466	ADRB3
346	Adrm1	chr3	175548180-175552943	10	0.00963298	175558056	2.016239341	ADRM1
347	Adsl	chr7	122157200-122192328	47	0.480211	122159470	0.318567896	ADSL
348	Adss	chr13	95913425-95943761	80	0.0716298	95936691	1.144906261	ADSS
349	Adssl1	chr6	137184817-137206694	37	0.0669281	137179632	1.174391504	ADSSL1
350	Adtrp	chr17	"22619912-22688296,22620618-22688296"	126	0.0254536	22696960	1.594250785	ADTRP
351	Aebp1	chr14	"86101252-86111320,86101331-86111323"	4	0.0278303	86094039	1.555482112	AEBP1
352	Aebp2	chr4	"174799377-174836049,174799377-174836049,174799377-174836947,174810958-174863260"	97	0.0166271	174858914	1.779183491	AEBP2
353	Aen	chr1	"140584327-140593749,140584379-140593749"	22	0.304902	140576982	0.515839727	AEN
354	Aes	chr7	11012842-11018156	40	0.122572	11021492	0.911608727	AES
355	Afap1	chr14	"79923131-79987915,79923131-80035093,79923137-80035096,79925828-80035094,79925828-80035096"	96	8.30E-05	80040820	4.081074199	AFAP1
356	Afap1l1	chr18	"57052658-57114589,57053946-57114545"	384	0.00798419	57106196	2.097769137	AFAP1L1
357	Afap1l2	chr1	"277730759-277773188,277730759-277827269,277730759-277827298,277730759-277827298,277730759-277827298,277730759-277827299"	341	0.000226466	277826254	3.644996991	AFAP1L2
358	Afdn	chr1	53713872-53861918	170	0.370763	53735116	0.430903612	AFDN
359	Aff1	chr14	"7222882-7384916,7226585-7325645,7226585-7326034"	207	0.00646685	7307900	2.189307212	AFF1
360	Aff3	chr9	"44837978-45241591,44837978-45291925,44837978-45291964,44837978-45291964,44837978-45291964,44837978-45291964,44840030-45206427"	579	0.317831	45048059	0.497803746	AFF3
361	Aff4	chr10	"38692166-38772314,38692210-38773021,38692231-38772314,38704314-38772314"	1	0.91508	38782648	0.038540936	AFF4
362	Afg3l1	chr19	56272170-56299323	110	0.0208486	56263184	1.680923103	
363	Afg3l2	chr18	63141417-63185510	86	0.0939131	63182779	1.027273823	AFG3L2
364	Afm	chr14	"19078677-19132212,19079600-19132169"	222	0.0235585	19092780	1.627852365	AFM
365	Afmid	chr10	"106828962-106840424,106828965-106843801,106828980-106844314"	65	0.1193	106824045	0.923359556	AFMID
366	Afp	chr14	19141754-19159919	317	0.0325778	19133503	1.487078247	AFP
367	Aftph	chr14	"104921632-104975595,104921636-104962483,104921636-104975763,104921636-104975763,104921636-104975763,104927903-104975762"	139	0.0263795	104981465	1.57873344	AFTPH
368	Aga	chr16	"41222224-41234169,41222237-41234095"	12	0.286736	41212451	0.542517778	AGA
369	Agap1	chr9	"96718900-97034400,96718900-97034400,96718901-97034400,96718901-97034400,96718901-97034400,96718901-97034400,96718902-97034400,96718902-97034400,96718902-97034400,96746439-97030163"	563	0.278765	96914616	0.554761754	AGAP1
370	Agap2	chr7	"70360198-70376472,70360201-70376472,70364054-70376472,70364812-70377422"	37	0.52486	70378809	0.279956524	AGAP2
371	Agap3	chr4	"7202329-7228675,7203015-7231450,7203015-7231452,7203015-7231453,7203015-7253072,7203015-7253385,7203015-7253386,7222335-7231456,7222335-7253385"	124	0.00600377	7207393	2.221575954	AGAP3
372	Agbl1	chr1	137798861-138711126	1848	0.0367271	138047878	1.435013363	AGBL1
373	Agbl3	chr4	"62293157-62377740,62297218-62377740,62297218-62377740,62297219-62365574"	169	0.0878247	62311744	1.056383325	AGBL3
374	Agbl4	chr5	130286392-130305884	41	0.33312	130295896	0.477399292	AGBL4
375	Agbl5	chr6	"26837298-26857228,26837332-26857227,26837332-26857229,26838034-26855658,26838041-26857225,26838166-26855791,26838166-26855791,26838166-26857234"	1	0.0415629	26844333	1.381294158	AGBL5
376	Ager	chr20	"4363151-4366079,4363152-4366078"	35	0.00238253	4364544	2.622961622	AGER
377	Agfg1	chr9	88607507-88663486	51	0.249523	88604622	0.602889417	AGFG1
378	Agfg2	chr12	"22082027-22113412,22082028-22118239,22082029-22118239,22082064-22118220"	142	0.201474	22093880	0.695780991	AGFG2
379	Aggf1	chr2	25068803-25095429	77	0.115011	25085962	0.93926062	AGGF1
380	Agk	chr4	"68483344-68561518,68483585-68561518,68483637-68561511,68483702-68561518,68485894-68561518"	137	0.0815456	68501037	1.088599467	AGK
381	Agl	chr2	"219788233-219842986,219789104-219843189"	23	0.495063	219833009	0.305339531	AGL
382	Agmat	chr5	"160306753-160321951,160306950-160321074"	57	0.00153408	160329887	2.814151992	AGMAT
383	Agmo	chr6	56846858-57193918	795	0.221277	56898341	0.655063725	AGMO
384	Ago2	chr7	114339606-114377277	64	0.0619787	114358494	1.207757537	AGO2
385	Ago3	chr5	"144355791-144396827,144355791-144403623,144364256-144436509"	11	0.318618	144357339	0.496729693	AGO3
386	Agpat1	chr20	"4369398-4378269,4369408-4378269,4370462-4378269,4370968-4378272"	47	0.00238253	4364544	2.622961622	AGPAT1
387	Agpat2	chr3	4044740-4055384	42	0.403743	4065368	0.393894994	AGPAT2
388	Agpat3	chr20	"11060583-11144187,11061253-11144187,11105681-11144187,11114163-11144806"	184	0.109132	11063752	0.962047886	AGPAT3
389	Agpat5	chr16	"75812836-75855996,75812992-75855745"	69	0.000529071	75806753	3.276486043	AGPAT5
390	Agr2	chr6	"55465781-55487086,55472327-55487087"	52	0.424144	55466896	0.372486672	AGR2
391	Agr3	chr6	55371737-55424233	185	0.309615	55388756	0.509178007	AGR3
392	Agrn	chr5	"173589909-173611202,173589909-173612677,173589909-173622813,173589909-173622813,173589909-173622813,173589909-173622813,173589909-173622813,173589909-173622813"	84	0.294887	173613368	0.530344373	AGRN
393	Agrp	chr19	"37525940-37584875,37526418-37528011"	39	0.36617	37524278	0.43631724	AGRP
394	Agt	chr19	"57321593-57333460,57321638-57333433"	24	0.0321482	57319640	1.492843339	AGT
